"","total_cup_points","species","owner","country_of_origin","farm_name","lot_number","mill","ico_number","company","altitude","region","producer","number_of_bags","bag_weight","in_country_partner","harvest_year","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","category_two_defects","expiration","certification_body","certification_address","certification_contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"1068",80.58,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-1979",NA,NA,NA,NA,149,"70 kg","Almacafé",NA,"March 15th, 2011","Racafe & Cia S.C.A",NA,NA,7.08,7.25,7,7.5,7.08,7.33,10,10,10,7.33,0,0,0,NA,2,"March 14th, 2012","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",NA,NA,NA
"1069",80.5,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","<U+738B><U+79CB><U+91D1>","1","non",NA,"<U+738B><U+79CB><U+91D1>","50","taiwan","<U+738B><U+79CB><U+91D1>",20,"5 kg","Blossom Valley International","2017","December 8th, 2017","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Other","Natural / Dry",7.17,7.17,7.17,7.42,7.17,7.25,10,10,10,7.17,0,0,0,"Blue-Green",0,"December 8th, 2018","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",50,50,50
"1070",80.5,"Arabica","juan luis alvarado romero","Guatemala","el guayabo","11/15/0293","el guayabo","11/15/0293","peter schoelfeld, s.a","1500","santa rosa","EDWIN MUÑOZ",275,"69 kg","Asociacion Nacional Del Café","2017","September 8th, 2017","Juan Luis Alvarado Romero","Caturra","Washed / Wet",7.33,7.25,7.08,7.17,7.25,7.17,10,10,10,7.25,0.1,0,0,"Green",4,"September 8th, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",1500,1500,1500
"1071",80.5,"Arabica","janny marlith torres","Honduras","la bendicion","331","en cortado beneficiado y secado por el productor","13-154-234","coffee planet corporation s.a","1650","ocotepeque","Jorge Alfredo Pinto",15,"69 kg","Instituto Hondureño del Café","2017","August 23rd, 2017","Janny Marlith Torres","Catuai","Washed / Wet",7.58,7.33,7,7.17,7.33,7.08,10,10,10,7,0.11,0,0,"Green",5,"August 23rd, 2018","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1650,1650,1650
"1072",80.5,"Arabica","case noyale ltd","Mauritius","case noyale ltd","K7 Chamarel 2015","hulling facility","not applicable","compagnie sucrière de bel ombre ltd","280","chamarel (south west)","Case Noyale Ltd",1,"2 kg","Kenya Coffee Traders Association","2016","February 11th, 2016","Case Noyale Ltd",NA,NA,7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,0.12,0,0,"Green",0,"February 10th, 2017","Kenya Coffee Traders Association","ccba45b89d859740b749878be8c6d16fbdb96c2e","d752c909a015f3c76224b3c5cc520f8a67afda74","m",280,280,280
"1073",80.5,"Arabica","bourbon specialty coffees","Brazil","cachoeira da grama farm",NA,"internacional armazens gerais","002/4542/0049","bourbon specialty coffees","1250 m","vale da grama","Lindolpho de Carvalho Dias",300,"60 kg","Brazil Specialty Coffee Association","2015/2016","November 17th, 2015","BOURBON SPECIALTY COFFEES","Yellow Bourbon","Semi-washed / Semi-pulped",7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,0.11,0,0,"Green",3,"November 16th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1250,1250,1250
"1074",80.5,"Arabica","shwe yin mar coffee","Myanmar","mixed",NA,"shwe yin mar","Unspecified","shwe yin mar coffee","3800","pyin oo lwin","Shwe Yin Mar",1,"2 kg","Coffee Quality Institute","2015","July 17th, 2015","Shwe Yin Mar Coffee","Other","Washed / Wet",7.17,7.33,7.17,7.42,7.25,7.08,10,10,10,7.08,0,0,0,"Green",2,"July 16th, 2016","Coffee Quality Institute","1d4c7f93129f9fb1c8a5f0ce0e36cc1cf4c2f4d7","0f62c9236e3ff5c4921da1e22a350aa99482779d","m",3800,3800,3800
"1075",80.5,"Arabica","juan luis alvarado romero","Guatemala","various",NA,"las americas","11-951-136","outspan guatemala s.a.","4000 p.s.n.m.","oriente","VARIOS",275,"69 kg","Asociacion Nacional Del Café","2014","April 23rd, 2014","Juan Luis Alvarado Romero","Other","Washed / Wet",7.5,7.17,6.83,7.5,7.17,7.17,10,10,10,7.17,0.11,0,0,"Green",3,"April 23rd, 2015","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1219.2,1219.2,1219.2
"1076",80.5,"Arabica","jacques pereira carneiro","Brazil","pereira estate coffee",NA,"carapina armazens gerais","002/135-2/0182","exportadora de cafés carmo de minas ltda","1250","mantiqueira de minas","MARIA ROGERIA COSTA PEREIRA",300,"60 kg","Specialty Coffee Association","2013","April 17th, 2014","Jacques Pereira Carneiro","Yellow Bourbon","Semi-washed / Semi-pulped",7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,0.1,0,0,"None",10,"April 17th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1250,1250,1250
"1077",80.5,"Arabica","eileen koyanagi","United States (Hawaii)",NA,NA,NA,"KP010914","kona pacific farmers cooperative",NA,"kona",NA,10,"100 lbs","Specialty Coffee Association","2013","February 4th, 2014","Eileen Koyanagi","Hawaiian Kona","Natural / Dry",7.42,7.33,7.33,7.58,7.58,7.42,8.67,10,10,7.17,0.11,1,0,"Green",0,"February 4th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"1078",80.5,"Arabica","juan luis alvarado romero","Guatemala","barranca de las flores",NA,"beneficio exportacafe agua santa","11/52/492","exportcafe","6100 metros","huehuetenango","IDMAR DE JESUS VELASQUEZ CALDERON",250,"1 kg","Asociacion Nacional Del Café","2013","February 13th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.5,7.5,7,7.67,7.17,7,10,10,10,6.67,0.12,1,0,"Green",1,"February 13th, 2014","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1859.28,1859.28,1859.28
"1079",80.5,"Arabica","israel eduardo paz garcia","Mexico","peña negra",NA,"zaragoza itundujia, oaxaca","1405793051","cafeorganico.mx","1450","zaragoza itundujia","HERAS HERNANDEZ GAUDENCIO",18,"1 kg","AMECAFE","2012","September 17th, 2012","ISRAEL EDUARDO PAZ GARCIA","Typica","Washed / Wet",7.25,7.25,7.08,7.33,7.25,7.17,10,10,10,7.17,0.15,0,0,"None",1,"September 17th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1450,1450,1450
"1080",80.42,"Arabica","cadexsa","Honduras","bethel","115","only dry mill","13-63-60","cadexsa","1450","marcala","Jose Omar Acosta",275,"69 kg","Instituto Hondureño del Café","2016","February 3rd, 2016","CADEXSA",NA,NA,7.25,7.42,7,7.42,7.33,7,10,10,10,7,0.1,0,0,"Green",0,"February 2nd, 2017","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1450,1450,1450
"1081",80.42,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","<U+6625><U+98A8><U+5496><U+5561>",NA,"<U+6625><U+98A8><U+5496><U+5561>","Taiwan<U+53F0><U+7063>","<U+5BB8><U+5DA7><U+570B><U+969B>","600<U+516C><U+5C3A>","<U+5357><U+6295><U+570B><U+59D3>","<U+66FE><U+6797><U+6625><U+82F1>",10,"60 kg","Blossom Valley International","2014","November 23rd, 2014","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Washed / Wet",7.58,7.17,7.17,7.17,7.17,7.17,10,10,10,7,0.14,0,0,"Green",0,"November 23rd, 2015","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",600,600,600
"1082",80.42,"Arabica","lusso lab","El Salvador","finca la fany",NA,NA,"NONE","lusso coffee lab","1450m","department of ahuachapan, municipality of apanecallamatepec mountain","Luis, Rafael and Carmen Silva Hoff",2,"2 kg","Specialty Coffee Association","2013","April 26th, 2014","LUSSO LAB","Bourbon","Washed / Wet",7.33,7.17,7.08,7.08,7.33,7.17,10,10,10,7.25,0,0,0,"Green",1,"April 26th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1450,1450,1450
"1083",80.42,"Arabica","adam ciruli ye","China","alicia's farm",NA,"alicia's farm","CNY","yunnan new century tech inc.","1700","yunnan","Alicia's Farm",1,"2 kg","Specialty Coffee Association","2013","January 17th, 2014","Adam Ciruli Ye","Other","Washed / Wet",7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,0.17,0,0,"Green",14,"January 17th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1700,1700,1700
"1084",80.42,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","guoxing farm coffee <U+570B><U+59D3><U+8FB2><U+5834><U+5496><U+5561>",NA,"guoxing farm coffee <U+570B><U+59D3><U+8FB2><U+5834><U+5496><U+5561>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","600 m","nantou","Huang san lang <U+9EC3><U+4E09><U+90CE>",10,"30 kg","Blossom Valley International
","2013/2014","December 26th, 2013
","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>
","Typica","Washed / Wet",7.25,7.25,7.17,7.25,7.25,7.25,10,10,10,7,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International
","09e3c859cac41901d54f4bd36cce80d19c9272f5","94828eb00127a1563ed640ea428f42f3313b182d","m",600,600,600
"1085",80.42,"Arabica","alfredo bojalil","Mexico","copalita",NA,"amsa oaxaca","1405675414","ecomtrading","1050","pochutla","CARLOS ALBERTO GOMEZ",250,"1 kg","AMECAFE","2012","September 4th, 2012","ALFREDO BOJALIL","Typica","Washed / Wet",6.92,7.17,7.08,7.5,7.33,7.17,10,10,10,7.25,0.1,2,0,"Green",4,"September 4th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1050,1050,1050
"1086",80.42,"Arabica","armando luis pohlenz martinez","Mexico",NA,NA,"finca custepec","2676","beneficio custepec s.a. de c.v.","1550","la concordia","ARMANDO LUIS POHLENZ MARTINEZ",250,"1 kg","AMECAFE","2012","August 30th, 2012","ARMANDO LUIS POHLENZ MARTINEZ","Caturra","Washed / Wet",7.42,7.08,7.08,7.33,7.25,7.17,10,10,10,7.08,0.12,4,0,"Green",16,"August 30th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1550,1550,1550
"1087",80.33,"Arabica","simon mahinda","Burundi",NA,"601","sogestal mumirwa","027/01/601","sangana commodities k limited","1700","mumirwa","SOGESTAL MUMIRWA",300,"60 kg","Kenya Coffee Traders Association","2016","January 22nd, 2016","SIMON MAHINDA",NA,NA,7.08,7.25,7.17,7.33,7.08,7.08,10,10,10,7.33,0.12,0,0,"Green",0,"January 21st, 2017","Kenya Coffee Traders Association","ccba45b89d859740b749878be8c6d16fbdb96c2e","d752c909a015f3c76224b3c5cc520f8a67afda74","m",1700,1700,1700
"1088",80.33,"Arabica","delfina leon shine","Tanzania, United Republic Of","delfina farm",NA,NA,"A053","delfina farm","1700","mkuu rombo","Delfina Leon Shine",10,"60 kg","Africa Fine Coffee Association","2015/2016","November 16th, 2015","Delfina Leon Shine","Bourbon","Washed / Wet",7.25,7.17,7,7.25,7.42,7.08,10,10,10,7.17,0.13,0,0,"Green",5,"November 15th, 2016","Africa Fine Coffee Association","073285c0d45e2f5539012d969937e529564fa6fe","c4ab13415cdd69376a93780c0166e7b1a10481ea","m",1700,1700,1700
"1089",80.33,"Arabica","kongoni estate","Tanzania, United Republic Of","kongoni estate",NA,"kongoni estate","C16","kongoni estate",NA,"arusha","Kongoni Estate",1,"60 kg","Africa Fine Coffee Association","2014","December 18th, 2014","Kongoni Estate","Other","Washed / Wet",7.25,7.17,7.25,7.25,7.25,7.08,10,10,10,7.08,0.12,0,0,"Bluish-Green",5,"December 18th, 2015","Africa Fine Coffee Association","073285c0d45e2f5539012d969937e529564fa6fe","c4ab13415cdd69376a93780c0166e7b1a10481ea","m",NA,NA,NA
"1090",80.33,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","tokoffee<U+838A><U+5712>",NA,"tokoffee<U+838A><U+5712>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","600 m","taichung xinshe <U+53F0><U+4E2D><U+5E02><U+65B0><U+793E><U+5340>","Wu yi ting <U+5433><U+4F0A><U+5A77>",10,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Yellow Bourbon","Other",7.25,7.25,7.08,7.25,7.25,7.25,10,10,10,7,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",600,600,600
"1091",80.33,"Arabica","juan luis alvarado romero","Guatemala","la castellana",NA,"beneficio ixchel","11/23/0795","unex guatemala, s.a.","4300","oriente","AGRIPEC DE LA VEGA Y CIA.",250,"69 kg","Asociacion Nacional Del Café","2013","June 6th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.33,7.33,6.83,7.5,7,7.17,10,10,10,7.17,0.11,1,0,"Green",4,"June 6th, 2014","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1310.64,1310.64,1310.64
"1092",80.33,"Arabica","miguel cortes moreno","Mexico",NA,NA,"comunidad de sacún palma, municipio de chilón, chiapas","01-04","estrategias constructivas corzu s.a. de c.v.","940","chilón","ARMANDO GUTIERREZ GUZMAN",10,"1 kg","AMECAFE","2012","August 30th, 2012","MIGUEL CORTES MORENO","Typica","Semi-washed / Semi-pulped",7.25,7.08,7.08,7.33,7.33,7.17,10,10,10,7.08,0.11,0,0,"Green",21,"August 30th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",940,940,940
"1093",80.33,"Arabica","kona pacific farmers cooperative","United States (Hawaii)",NA,NA,NA,"2135405","cqi",NA,"kona",NA,10,"100 lbs","Specialty Coffee Association","2012","February 8th, 2012","Kona Pacific Farmers Cooperative","Hawaiian Kona","Washed / Wet",7.17,7.5,6.92,7.33,7.67,7.33,9.33,10,10,7.08,0.12,5,0,"Green",7,"February 7th, 2013","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"1094",80.33,"Arabica","ethiopia commodity exchange","Ethiopia",NA,NA,NA,"010/0058",NA,NA,"kelem welega","Exporter Name | Muluneh Kaka | Phone: 0114390290",360,"6","Ethiopia Commodity Exchange","2010","June 17th, 2010","Ethiopia Commodity Exchange",NA,NA,7.25,7.25,7.25,7.33,7.5,8,9.33,9.33,10,7.08,0.1,0,0,NA,1,"June 17th, 2011","Ethiopia Commodity Exchange","a176532400aebdc345cf3d870f84ed3ecab6249e","61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b","m",NA,NA,NA
"1095",80.25,"Arabica","volcafe ltda. - brasil","Brazil","são rafael_ ra/ras certified","2017-003","copag - varginha - mg","002/143-0/0058","volcafe ltda.","995","cerrado - monte carmelo - minas gerais","Luiz Augusto Pereira Moguilod",440,"59 kg","Brazil Specialty Coffee Association","2017 / 2018","November 3rd, 2017","Volcafe Ltda. - Brasil","Catuai","Natural / Dry",7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,0.11,0,1,"Green",1,"November 3rd, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",995,995,995
"1096",80.25,"Arabica","bismarck castro","Honduras","las moras","102","cigrah s.a de c.v.","13-111-053","cigrah s.a de c.v","1400","comayagua","Yamilet Lope",275,"69 kg","Instituto Hondureño del Café","2016","April 6th, 2017","Bismarck Castro","Caturra","Natural / Dry",7.25,7.25,7,7,7.42,7,10,10,10,7.33,0.1,0,0,"Green",4,"April 6th, 2018","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1400,1400,1400
"1097",80.25,"Arabica","cafe de don balbino s.c. de r.l. de c.v.","Mexico","cortapico","cosecha 2015-2016","café don balbino",NA,"cafe don balbino s.c. de r.l. de c.v.","1600","sierra madre occidental","Balbino Ramirez Flores",60,"69 kg","Centro Agroecológico del Café A.C.","2016","April 26th, 2016","CAFE DE DON BALBINO S.C. DE R.L. DE C.V.","Caturra","Washed / Wet",7.25,7.17,7,7.33,7.33,7,10,10,10,7.17,0.1,0,0,"Green",2,"April 26th, 2017","Centro Agroecológico del Café A.C.","3b8dfdd621590b424ff64e0b76df7d6a92e1c628","d470dc009281519e30da6ead1c649fcd7670f386","m",1600,1600,1600
"1098",80.25,"Arabica","bob mccauley","Myanmar","waylead farms",NA,"green beans","n/a","waylead industrial co, ltd.","3000 ft","yauk sauk, shan state","Waylead Co, Ltd",2,"2 kg","Specialty Coffee Association","2015","August 27th, 2015","Bob McCauley","Other","Natural / Dry",8,7.08,7,7.33,7.08,6.92,10,10,10,6.83,0.11,1,0,"Green",26,"August 26th, 2016","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",914.4,914.4,914.4
"1099",80.25,"Arabica","u htun htun","Myanmar","thein kone",NA,NA,"unspecified",NA,"4287","ywar ngan","U Htun Htun",1,"2 kg","Coffee Quality Institute","2014","July 17th, 2015","U Htun Htun","Catuai","Natural / Dry",7.42,7,7.08,7,7.17,7.33,10,10,10,7.25,0,0,0,"Green",1,"July 16th, 2016","Coffee Quality Institute","1d4c7f93129f9fb1c8a5f0ce0e36cc1cf4c2f4d7","0f62c9236e3ff5c4921da1e22a350aa99482779d","m",4287,4287,4287
"1100",80.25,"Arabica","gloria antonieta escobar urrutia","Nicaragua","finca el consuelo",NA,"beneficio matagalpa coffee group, s.a.","017/117/018","zeas escobar y compañía limitada","900 m.s.n.m.","matagalpa","GLORIA ANTONIETA ESCOBAR URRUTIA",275,"69 kg","Asociación de Cafés Especiales de Nicaragua","2015","February 20th, 2015","Gloria Antonieta Escobar Urrutia","Caturra","Washed / Wet",7.08,6.92,7,7.25,7.5,7.25,10,10,10,7.25,0.11,0,0,"Green",2,"February 20th, 2016","Asociación de Cafés Especiales de Nicaragua","fc561dd3c2eee024b032933e0a97b4aede0dc206","f79a8d4dee92a80ff14025f03ea34fa316b2132f","m",900,900,900
"1101",80.25,"Arabica","eileen koyanagi","United States (Hawaii)",NA,NA,NA,"KPP021114","kona pacific farmers cooperative",NA,"kona",NA,2,"100 lbs","Specialty Coffee Association","2014","March 3rd, 2014","Eileen Koyanagi","Hawaiian Kona","Natural / Dry",7.5,7.08,7.67,7.67,7.42,7.58,9.33,9.33,9.33,7.33,0.12,4,0,"Green",13,"March 3rd, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"1102",80.25,"Arabica","honor dela fuente","Colombia",NA,NA,NA,"3","costco wholesale industries",NA,NA,NA,1,"2 kg","Specialty Coffee Association","2012","January 8th, 2014","Honor dela Fuente","Typica","Washed / Wet",7.42,8,7.83,7.75,8.08,7.58,8.67,8.67,8.67,7.58,0.1,0,0,"Green",0,"January 8th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"1103",80.25,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","weng hui ling <U+7FC1><U+60E0><U+9234>",NA,"weng hui ling <U+7FC1><U+60E0><U+9234>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","700 m","chiayi fanlu<U+5609><U+7FA9><U+7E23><U+756A><U+8DEF><U+9109>","Weng hui ling <U+7FC1><U+60E0><U+9234>",5,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Semi-washed / Semi-pulped",7.25,7.08,7.25,7.25,7.17,7.25,10,10,10,7,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",700,700,700
"1104",80.25,"Arabica","the coffee source inc.","Guatemala","several",NA,"ixchel","11-23-1972","the coffee source inc.","1400","oriente","UNEX",250,"1 kg","Specialty Coffee Association","2012","January 9th, 2013","The Coffee Source Inc.","Caturra","Washed / Wet",7,7.17,7.33,7.33,7,7.17,10,10,10,7.25,0.11,1,0,"Green",12,"January 9th, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1400,1400,1400
"1105",80.25,"Arabica","saul m. hernandez ramirez","Mexico","mirador",NA,"en coyula","1702801679",NA,"808","calnali, hidalgo","HERNANDEZ PACHECO, TIMOTEO",10,"1 kg","AMECAFE","2012","September 27th, 2012","SAUL M. HERNANDEZ RAMIREZ","Caturra","Washed / Wet",7.58,7.33,7.17,7.25,6.75,7,10,10,10,7.17,0.11,2,0,"None",8,"September 27th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",808,808,808
"1106",80.17,"Arabica","sunvirtue co., ltd.","Vietnam","apollo estate","Oriental Paris Civet Coffee","yes",NA,"sunvirtue co., ltd.","1550","dala","Yeh, Li Chuan",1,"2 kg","Specialty Coffee Association","2017","May 9th, 2017","Sunvirtue Co., Ltd.","Catimor","Other",7.42,7.25,7.25,7.58,7.42,7.33,8.67,10,10,7.25,0,0,0,NA,2,"May 9th, 2018","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1550,1550,1550
"1107",80.17,"Arabica","exportadora atlantic, s.a.","Nicaragua","los mesones",NA,"planta procesadora sebaco","017-053-0125","exportadora atlantic s.a","1100 - 1275 mts","jinotega","Sheldom La rue",275,"2 kg","Asociación de Cafés Especiales de Nicaragua","2015","April 24th, 2015","Exportadora Atlantic, S.A.","Caturra","Washed / Wet",7.17,7.08,7.08,7.33,7.25,7.08,10,10,10,7.17,0.11,0,0,NA,2,"April 23rd, 2016","Asociación de Cafés Especiales de Nicaragua","fc561dd3c2eee024b032933e0a97b4aede0dc206","f79a8d4dee92a80ff14025f03ea34fa316b2132f","m",1100,1275,1187.5
"1108",80.17,"Arabica","cadexsa","Honduras","cerro bueno",NA,"cadexsa","13-63-70","cadexsa","1400 msnm","marcala","Jose Omar Acosta",275,"1 kg","Instituto Hondureño del Café","2015","January 26th, 2015","CADEXSA","Catuai","Washed / Wet",7.25,7.25,7,7.17,7.08,7.08,10,10,10,7.33,0.11,0,0,"Green",0,"January 26th, 2016","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1400,1400,1400
"1109",80.17,"Arabica","juan luis alvarado romero","Guatemala","el morito",NA,"beneficio ixchel","11/23/1170","unex guatemala, s.a.","4300","oriente","ROBERTO MONTERROSO",250,"69 kg","Asociacion Nacional Del Café","2013","August 7th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.33,7.33,7,7.17,7.17,7.17,10,10,10,7,0.11,0,0,"Green",2,"August 7th, 2014","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1310.64,1310.64,1310.64
"1110",80.17,"Arabica","pablo enrique martinez gama","Mexico","la orduña, coatepec, veracruz",NA,"alcafe s.a. de c.v","1104362940","café katsina","1250","coatepec","PABLO ENRIQUE MARTINEZ GAMA",20,"1 kg","AMECAFE","2012","October 9th, 2012","PABLO ENRIQUE MARTINEZ GAMA","Typica","Washed / Wet",7.33,7.08,6.92,7.42,7.25,7.08,10,10,10,7.08,0.11,0,0,"Green",2,"October 9th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1250,1250,1250
"1111",80.17,"Arabica","israel eduardo paz garcia","Mexico","el carrizo",NA,"zaragoza itundujia, oaxaca","1405791535","cafeorganico.mx","1550","zaragoza itundujia","CIRILO JOSE JOSE",15,"1 kg","AMECAFE","2012","September 13th, 2012","ISRAEL EDUARDO PAZ GARCIA","Typica","Washed / Wet",7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,10,7.42,0.14,1,0,"Green",2,"September 13th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1550,1550,1550
"1112",80.17,"Arabica","marco virgilio ramirez teliz","Mexico","el aguacate",NA,"cafes de naranjal s.a. de c.v.","1104367469","cafes de naranjal s.a. de c.v","1000","veracruz","MARCO VIRGILIO RAMIREZ TELIZ",15,"1 kg","AMECAFE","2012","September 10th, 2012","MARCO VIRGILIO RAMIREZ TELIZ","Bourbon","Washed / Wet",7.33,7.33,7.17,7.08,7.25,7,10,10,10,7,0.12,0,0,"Green",12,"September 10th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1000,1000,1000
